timestamp,load,hour_of_day,day_of_week,holiday
2020-01-01 00:00:00,49.01088,0,0,1
2020-01-01 01:00:00,51.04048,1,0,1
2020-01-01 02:00:00,54.016117,2,0,1
2020-01-01 03:00:00,54.071404,3,0,1
2020-01-01 04:00:00,55.705486,4,0,1
2020-01-01 05:00:00,55.97447,5,0,1
2020-01-01 06:00:00,55.0431,6,0,1
2020-01-01 07:00:00,56.162037,7,0,1
2020-01-01 08:00:00,54.913795,8,0,1
2020-01-01 09:00:00,54.22198,9,0,1
2020-01-01 10:00:00,53.713192,10,0,1
2020-01-01 11:00:00,50.98984,11,0,1
2020-01-01 12:00:00,52.51782,12,0,1
2020-01-01 13:00:00,49.46262,13,0,1
2020-01-01 14:00:00,50.02827,14,0,1
2020-01-01 15:00:00,48.226883,15,0,1
2020-01-01 16:00:00,48.923866,16,0,1
2020-01-01 17:00:00,46.325863,17,0,1
2020-01-01 18:00:00,46.594673,18,0,1
2020-01-01 19:00:00,47.503002,19,0,1
2020-01-01 20:00:00,45.54292,20,0,1
2020-01-01 21:00:00,49.455708,21,0,1
2020-01-01 22:00:00,51.284786,22,0,1
2020-01-01 23:00:00,52.152626,23,0,1
2020-01-02 00:00:00,53.148266,0,1,0
2020-01-02 01:00:00,53.61191,1,1,0
2020-01-02 02:00:00,56.31262,2,1,0
2020-01-02 03:00:00,57.203735,3,1,0
2020-01-02 04:00:00,57.376823,4,1,0
2020-01-02 05:00:00,57.54509,5,1,0
2020-01-02 06:00:00,57.40114,6,1,0
2020-01-02 07:00:00,56.411083,7,1,0
2020-01-02 08:00:00,58.41298,8,1,0
2020-01-02 09:00:00,54.26114,9,1,0
2020-01-02 10:00:00,55.06457,10,1,0
2020-01-02 11:00:00,54.426254,11,1,0
2020-01-02 12:00:00,53.856667,12,1,0
2020-01-02 13:00:00,62.177814,13,1,0
2020-01-02 14:00:00,51.535816,14,1,0
2020-01-02 15:00:00,49.232082,15,1,0
2020-01-02 16:00:00,49.469612,16,1,0
2020-01-02 17:00:00,46.988674,17,1,0
2020-01-02 18:00:00,49.51394,18,1,0
2020-01-02 19:00:00,48.097797,19,1,0
2020-01-02 20:00:00,48.075726,20,1,0
2020-01-02 21:00:00,48.89654,21,1,0
2020-01-02 22:00:00,50.49713,22,1,0
2020-01-02 23:00:00,51.35482,23,1,0
2020-01-03 00:00:00,55.31069,0,2,0
2020-01-03 01:00:00,53.571693,1,2,0
2020-01-03 02:00:00,55.499325,2,2,0
2020-01-03 03:00:00,56.497234,3,2,0
2020-01-03 04:00:00,57.25502,4,2,0
2020-01-03 05:00:00,57.74066,5,2,0
2020-01-03 06:00:00,57.32934,6,2,0
2020-01-03 07:00:00,57.008568,7,2,0
2020-01-03 08:00:00,56.178043,8,2,0
2020-01-03 09:00:00,54.70153,9,2,0
2020-01-03 10:00:00,55.311024,10,2,0
2020-01-03 11:00:00,54.810265,11,2,0
2020-01-03 12:00:00,51.92241,12,2,0
2020-01-03 13:00:00,50.543205,13,2,0
2020-01-03 14:00:00,49.50667,14,2,0
2020-01-03 15:00:00,48.25115,15,2,0
2020-01-03 16:00:00,46.402122,16,2,0
2020-01-03 17:00:00,48.62234,17,2,0
2020-01-03 18:00:00,47.44147,18,2,0
2020-01-03 19:00:00,46.374138,19,2,0
2020-01-03 20:00:00,47.793003,20,2,0
2020-01-03 21:00:00,47.760105,21,2,0
2020-01-03 22:00:00,48.928364,22,2,0
2020-01-03 23:00:00,50.613674,23,2,0
2020-01-04 00:00:00,52.398617,0,3,0
2020-01-04 01:00:00,54.159294,1,3,0
2020-01-04 02:00:00,55.447933,2,3,0
2020-01-04 03:00:00,54.427513,3,3,0
2020-01-04 04:00:00,54.866646,4,3,0
2020-01-04 05:00:00,55.859684,5,3,0
2020-01-04 06:00:00,55.951904,6,3,0
2020-01-04 07:00:00,54.811142,7,3,0
2020-01-04 08:00:00,54.31678,8,3,0
2020-01-04 09:00:00,54.846703,9,3,0
2020-01-04 10:00:00,54.52999,10,3,0
2020-01-04 11:00:00,51.345768,11,3,0
2020-01-04 12:00:00,49.520035,12,3,0
2020-01-04 13:00:00,48.48036,13,3,0
2020-01-04 14:00:00,46.45268,14,3,0
2020-01-04 15:00:00,46.0297,15,3,0
2020-01-04 16:00:00,45.82119,16,3,0
2020-01-04 17:00:00,44.709293,17,3,0
2020-01-04 18:00:00,45.747013,18,3,0
2020-01-04 19:00:00,44.726803,19,3,0
2020-01-04 20:00:00,45.450726,20,3,0
2020-01-04 21:00:00,45.51087,21,3,0
2020-01-04 22:00:00,47.907642,22,3,0
2020-01-04 23:00:00,46.473885,23,3,0
2020-01-05 00:00:00,48.586758,0,4,0
2020-01-05 01:00:00,48.9126,1,4,0
2020-01-05 02:00:00,52.022274,2,4,0
2020-01-05 03:00:00,52.98776,3,4,0
2020-01-05 04:00:00,52.324398,4,4,0
2020-01-05 05:00:00,54.908283,5,4,0
2020-01-05 06:00:00,53.036266,6,4,0
2020-01-05 07:00:00,51.69539,7,4,0
2020-01-05 08:00:00,52.216404,8,4,0
2020-01-05 09:00:00,51.984234,9,4,0
2020-01-05 10:00:00,50.278454,10,4,0
2020-01-05 11:00:00,51.499702,11,4,0
2020-01-05 12:00:00,48.72589,12,4,0
2020-01-05 13:00:00,48.24139,13,4,0
2020-01-05 14:00:00,46.62717,14,4,0
2020-01-05 15:00:00,42.46051,15,4,0
2020-01-05 16:00:00,42.918037,16,4,0
2020-01-05 17:00:00,40.015537,17,4,0
2020-01-05 18:00:00,41.878696,18,4,0
2020-01-05 19:00:00,43.76579,19,4,0
2020-01-05 20:00:00,42.26604,20,4,0
2020-01-05 21:00:00,43.23013,21,4,0
2020-01-05 22:00:00,45.195415,22,4,0
2020-01-05 23:00:00,46.833443,23,4,0
2020-01-06 00:00:00,46.958904,0,5,0
2020-01-06 01:00:00,48.332584,1,5,0
2020-01-06 02:00:00,50.58649,2,5,0
2020-01-06 03:00:00,51.054455,3,5,0
2020-01-06 04:00:00,51.301228,4,5,0
2020-01-06 05:00:00,52.39623,5,5,0
2020-01-06 06:00:00,52.32812,6,5,0
2020-01-06 07:00:00,52.34036,7,5,0
2020-01-06 08:00:00,53.595745,8,5,0
2020-01-06 09:00:00,50.50719,9,5,0
2020-01-06 10:00:00,49.253746,10,5,0
2020-01-06 11:00:00,50.022026,11,5,0
2020-01-06 12:00:00,46.633514,12,5,0
2020-01-06 13:00:00,47.794018,13,5,0
2020-01-06 14:00:00,44.707085,14,5,0
2020-01-06 15:00:00,43.976654,15,5,0
2020-01-06 16:00:00,43.88288,16,5,0
2020-01-06 17:00:00,43.907795,17,5,0
2020-01-06 18:00:00,43.57009,18,5,0
2020-01-06 19:00:00,42.59239,19,5,0
2020-01-06 20:00:00,42.985367,20,5,0
2020-01-06 21:00:00,44.553764,21,5,0
2020-01-06 22:00:00,45.440002,22,5,0
2020-01-06 23:00:00,45.935837,23,5,0
2020-01-07 00:00:00,48.353233,0,6,0
2020-01-07 01:00:00,50.3043,1,6,0
2020-01-07 02:00:00,50.75935,2,6,0
2020-01-07 03:00:00,53.272213,3,6,0
2020-01-07 04:00:00,52.99591,4,6,0
